#config - lat:37.17074
#config - lon:138.73437333333
#config - planting_date:2016-05-11
#config - harvesting_date:2016-10-13
#config - yield:741.3
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-07-14,196,10.156916,88.717896,23.258198,20.855043,26.866552,2016,12.614849
2016-07-15,197,21.352041,89.723473,21.859058,19.160477,26.852514,2016,13.625707
2016-07-16,198,0.000000,85.616112,23.058165,19.167175,27.456964,2016,21.654247
2016-07-17,199,6.412258,85.624069,23.166906,21.361006,27.562704,2016,10.843655
2016-07-18,200,0.000000,86.973412,22.070591,20.759779,24.879427,2016,11.043851
2016-07-19,201,0.000000,81.587898,23.163544,19.258493,28.752899,2016,26.331387
2016-07-20,202,0.000000,82.963707,22.760262,19.758379,27.756809,2016,21.245472
2016-07-21,203,0.000000,82.717773,21.661840,19.356277,25.659378,2016,10.061929
2016-07-22,204,0.000000,75.371231,22.955072,18.165003,28.743355,2016,22.400204
2016-07-23,205,0.000000,70.833031,23.255623,18.455717,28.744703,2016,23.311348
2016-07-24,206,0.000000,64.426079,24.158499,19.654337,30.146360,2016,26.624664
2016-07-25,207,0.000000,75.066231,23.463610,20.157122,27.853073,2016,12.299316
2016-07-26,208,22.932907,88.653008,21.763401,20.263451,24.144091,2016,4.670421
2016-07-27,209,2.315756,84.185936,23.461281,19.864161,28.834661,2016,13.258846
2016-07-28,210,0.000000,73.474434,25.463205,21.565767,31.135054,2016,16.697052
2016-07-29,211,0.000000,71.175377,25.961470,20.971436,31.924156,2016,21.999624
2016-07-30,212,0.000000,72.327049,25.559246,22.057558,31.219145,2016,17.385679
2016-07-31,213,0.000000,73.223564,25.163876,20.966406,31.412830,2016,23.047915
2016-08-01,214,10.472918,81.748634,24.367159,20.668442,31.201887,2016,21.861605
2016-08-02,215,33.929432,91.455521,22.774220,20.569448,27.525457,2016,13.409226
2016-08-03,216,0.000000,83.324379,24.163105,20.168064,28.504261,2016,21.185297
2016-08-04,217,0.000000,82.595299,25.754883,22.646265,30.690943,2016,23.104109
2016-08-05,218,0.000000,81.713577,25.463551,20.959206,31.089561,2016,25.072918
2016-08-06,219,0.000000,75.253555,26.263596,20.866673,32.182209,2016,25.725536
2016-08-07,220,0.000000,70.158020,27.262716,21.668831,33.572407,2016,26.579632
2016-08-08,221,0.000000,74.371475,26.362219,21.167484,31.871143,2016,23.431063
2016-08-09,222,22.184961,84.674171,24.664446,22.153435,27.780666,2016,14.817169
2016-08-10,223,0.000000,79.565903,23.562218,21.249578,27.277355,2016,16.555399
2016-08-11,224,0.000000,75.730003,23.560680,19.361092,28.671860,2016,24.055571
2016-08-12,225,0.000000,73.135651,23.863125,17.571327,30.564375,2016,27.273050
2016-08-13,226,0.000000,75.239494,25.061655,19.667074,30.368496,2016,23.538252
2016-08-14,227,0.000000,76.039803,24.862104,21.259083,29.964754,2016,16.771555
2016-08-15,228,20.260597,88.407372,23.762978,21.553877,27.272133,2016,7.813257
2016-08-16,229,0.000000,72.898926,25.665268,20.268232,32.367805,2016,22.651176
2016-08-17,230,0.000000,87.078346,24.166498,21.167198,28.665480,2016,13.984453
2016-08-18,231,0.000000,84.139221,25.056782,21.356743,30.062965,2016,19.871746
2016-08-19,232,0.000000,82.361130,25.859781,21.170511,32.353672,2016,18.991438
2016-08-20,233,0.000000,68.929008,25.666981,21.172186,32.466377,2016,17.522867
2016-08-21,234,0.000000,75.853210,26.460005,21.662428,32.381516,2016,21.124693
2016-08-22,235,16.901407,80.969299,23.765684,20.665844,28.394049,2016,7.744257
2016-08-23,236,3.989034,85.716835,23.066574,20.761375,26.407299,2016,10.191825
2016-08-24,237,0.000000,83.521957,24.360716,19.962664,30.490479,2016,20.834913
2016-08-25,238,0.541534,74.651627,26.259800,21.662937,32.701283,2016,21.876669
2016-08-26,239,38.399628,81.819206,24.565132,20.963520,30.917620,2016,14.706084
2016-08-27,240,14.051951,89.471931,19.069582,17.765055,20.956432,2016,5.343066
2016-08-28,241,0.000000,70.785774,22.960642,16.077753,29.737812,2016,22.462830
2016-08-29,242,0.000000,64.028091,25.574541,19.687487,32.365433,2016,21.028950
2016-08-30,243,53.380165,93.119881,19.470627,16.373936,23.104483,2016,5.398062
2016-08-31,244,0.000000,60.972527,22.264456,14.874453,29.614830,2016,24.338890
2016-09-01,245,0.000000,64.925247,22.068323,15.772557,29.423700,2016,23.569250
2016-09-02,246,0.000000,67.189438,23.861298,17.267563,31.334595,2016,23.537834
2016-09-03,247,0.000000,63.629669,25.755564,19.660269,31.758747,2016,25.064543
2016-09-04,248,0.000000,66.197639,25.859001,20.273186,32.569679,2016,22.191090
2016-09-05,249,3.590930,69.321953,25.261581,20.073557,32.881985,2016,19.641153
2016-09-06,250,0.000000,80.917442,24.063314,20.865725,29.312412,2016,14.020585
2016-09-07,251,0.000000,85.797073,24.260693,21.455456,29.613712,2016,15.125053
2016-09-08,252,5.216590,86.733528,22.867239,19.963894,28.427912,2016,7.109404
2016-09-09,253,12.248992,85.682030,20.867453,18.961729,25.337749,2016,13.612908
2016-09-10,254,0.000000,82.473228,21.364178,18.260740,25.950733,2016,15.371883
