#config - lat:35.539458333333
#config - lon:140.39256333333
#config - planting_date:2016-05-03
#config - harvesting_date:2016-08-29
#config - yield:687.5
DATE,DOY,RAIN,RH2M,T2M,T2MN,T2MX,YEAR,swv_dwn
2016-07-06,188,0.000000,86.737915,22.829969,19.937809,26.857645,2016,11.964285
2016-07-07,189,0.000000,82.135185,25.715439,21.112589,34.314083,2016,27.179869
2016-07-08,190,0.000000,84.399452,24.744104,21.863497,29.459885,2016,16.668119
2016-07-09,191,18.756248,94.725922,22.802616,21.544458,24.400593,2016,5.501834
2016-07-10,192,0.000000,84.254150,24.870481,20.232695,30.077713,2016,25.275179
2016-07-11,193,0.000000,80.159843,26.097538,21.235178,31.541452,2016,27.596205
2016-07-12,194,0.000000,84.979836,25.674427,23.414282,29.257170,2016,22.354576
2016-07-13,195,1.748658,93.453636,25.073414,23.629936,26.943237,2016,7.215501
2016-07-14,196,10.060966,90.352638,25.671043,21.790594,31.055080,2016,18.967302
2016-07-15,197,10.383933,92.402977,22.715881,21.194990,25.600922,2016,7.429724
2016-07-16,198,0.000000,86.329025,23.470139,20.692682,26.529388,2016,14.744089
2016-07-17,199,0.000000,88.242844,25.582890,22.186787,28.456768,2016,10.431129
2016-07-18,200,0.000000,83.790642,27.267748,24.870823,31.296373,2016,18.286335
2016-07-19,201,0.000000,81.751839,26.903433,23.770443,31.478182,2016,25.533182
2016-07-20,202,2.121148,83.275909,25.476549,23.411913,29.105515,2016,17.583548
2016-07-21,203,8.980505,93.764595,22.403337,21.295883,24.414942,2016,4.997213
2016-07-22,204,1.366584,83.599518,21.952030,19.926867,24.411453,2016,9.839771
2016-07-23,205,0.000000,77.405518,21.854252,18.230556,25.907307,2016,19.907417
2016-07-24,206,0.000000,82.403114,23.114759,19.109631,28.129202,2016,22.596817
2016-07-25,207,0.000000,86.329384,24.218864,20.422441,28.768061,2016,22.833200
2016-07-26,208,0.000000,92.266205,23.455576,21.314850,25.917152,2016,7.622382
2016-07-27,209,2.884965,91.128532,24.225674,22.192356,27.415560,2016,10.875873
2016-07-28,210,0.000000,86.127815,25.683962,22.767317,29.898436,2016,18.702890
2016-07-29,211,0.000000,81.778770,25.903339,21.391359,30.966782,2016,26.658045
